step,action,position_state,balance,equity,drawdown_pct
578,BUY,1,14301.319999999929,14301.269999999928,0.0082
579,SELL,-1,14313.09999999993,14313.04999999993,0.0
580,BUY,1,14328.92999999993,14328.879999999928,0.0
581,CLOSE,0,14343.06999999993,14343.06999999993,0.0
582,SELL,-1,14343.06999999993,14343.019999999931,0.0003
584,BUY,1,14346.11999999993,14346.06999999993,0.0
585,CLOSE,0,14354.559999999929,14354.559999999929,0.0
586,CLOSE,0,14354.559999999929,14354.559999999929,0.0
587,SELL,-1,14354.559999999929,14354.50999999993,0.0003
588,SELL,-1,14354.559999999929,14355.68999999993,0.0
589,BUY,1,14358.52999999993,14358.47999999993,0.0
590,BUY,1,14358.52999999993,14360.91999999993,0.0
591,BUY,1,14358.52999999993,14358.989999999929,0.0134
592,CLOSE,0,14369.79999999993,14369.79999999993,0.0
593,BUY,1,14369.79999999993,14369.74999999993,0.0003
594,BUY,1,14369.79999999993,14370.079999999929,0.0
595,BUY,1,14369.79999999993,14368.20999999993,0.013
596,SELL,-1,14385.20999999993,14385.15999999993,0.0
597,CLOSE,0,14385.94999999993,14385.94999999993,0.0
599,CLOSE,0,14385.94999999993,14385.94999999993,0.0
600,BUY,1,14385.94999999993,14385.899999999929,0.0003
601,CLOSE,0,14392.45999999993,14392.45999999993,0.0
602,CLOSE,0,14392.45999999993,14392.45999999993,0.0
603,CLOSE,0,14392.45999999993,14392.45999999993,0.0
604,SELL,-1,14392.45999999993,14392.40999999993,0.0003
605,CLOSE,0,14395.579999999929,14395.579999999929,0.0
607,BUY,1,14395.579999999929,14395.52999999993,0.0003
608,BUY,1,14395.579999999929,14401.52999999993,0.0
609,BUY,1,14395.579999999929,14403.639999999928,0.0
610,BUY,1,14395.579999999929,14405.239999999929,0.0
611,CLOSE,0,14406.299999999928,14406.299999999928,0.0
612,BUY,1,14406.299999999928,14406.249999999927,0.0003
615,SELL,-1,14416.209999999926,14416.159999999927,0.0078
616,SELL,-1,14416.209999999926,14417.639999999927,0.0
617,BUY,1,14447.299999999927,14447.249999999927,0.0
618,SELL,-1,14452.789999999926,14452.739999999925,0.0
620,BUY,1,14458.649999999925,14458.599999999926,0.0
621,BUY,1,14458.649999999925,14461.179999999924,0.0
625,SELL,-1,14465.789999999924,14465.739999999925,0.0064
626,SELL,-1,14465.789999999924,14466.529999999924,0.0009
627,BUY,1,14477.119999999924,14477.069999999923,0.0
628,SELL,-1,14478.959999999925,14478.909999999923,0.0
629,SELL,-1,14478.959999999925,14483.209999999925,0.0
630,SELL,-1,14478.959999999925,14486.919999999925,0.0
631,BUY,1,14487.959999999925,14487.909999999923,0.0
632,SELL,-1,14488.199999999924,14488.149999999925,0.0
633,SELL,-1,14488.199999999924,14484.949999999924,0.0221
